Word;POS;Tag
ending;VBG;time
effigy;JJ;time
al-Hakim;NNP;per
summit;NN;org
earth;NN;geo
six-year;JJ;time
disease;NN;time
eight-year;JJ;time
minister;NN;per
sworn-in;JJ;time
centuries;NNS;time
seven-month;JJ;time
martyrdom;NN;time
pilgrimage;NN;geo
explosion;NN;time
mid-14th;JJ;time
anti-THAKSIN;NNP;org
before;RB;time
holiday;NN;geo
one-fifth;NN;time
far-right;JJ;time
al-Sammarei;NNP;per
al-Qaeda;NNP;org
al-Sammarei;NNP;geo
secretary-general;NN;org
am;VBP;org
d';NNP;geo
millennium;NN;time
politics;NNS;geo
enclave;NN;org
al-Muadham;NNP;geo
six-party;JJ;org
unrest;NN;time
stadium;NN;org
blasts;NNS;org
agency;NN;org
half-a-day;NN;time
nationals;NNS;org
del;NNP;per
al-Sabah;NNP;org
street;NN;geo
population;NN;org
poll;NN;time
al-Siddiq;NNP;per
al-Siddiq;NNP;geo
prosecutor;NN;time
al-Zawahiri;NNP;geo
one-year;JJ;time
el-Bared;JJ;geo
standoff;NN;time
da;NN;per
strip;NN;geo
early;RB;time
this;DT;time
during;IN;time
socially-conservative;JJ;org
al-Megrahi;NNP;per
al-Naimi;NNP;per
five-year;JJ;time
de;NNP;event
now;RB;time
townships;NNS;time
towns;NNS;org
devastating;JJ;time
defense;NN;org
parties;NNS;org
al-Sunna;NNP;org
six-day;JJ;time
al-Otari;NNP;per
mid-1995;CD;time
explorer;NNP;per
greeting;NN;time
ul-Haq;NNP;per
al-Anbar;NNP;geo
matches;NNS;time
al-Muasher;NNP;per
six-month;JJ;time
wa;NNP;per
al-Tamimi;NNP;per
so;RB;time
el;NNP;per
ealier;NN;time
al-Yousifi;NNP;geo
fierce;JJ;time
mid-May;NN;time
mid-1990s;NNS;geo
south;RB;geo
al-Waili;NNP;per
settlement;NN;obj
https://www.celebritiesforcharity.org/raffles/netraffle_main.cfm;NNP;geo
seven-day;JJ;time
