Tag;Before;After;Darab
geo;CD;NNS;18
time;VBD;DT;36
geo;TO;IN;57
geo;VBG;NN;8
gpe;.;CC;24
gpe;CC;NN;17
per;LRB;RRB;2
per;VBP;NNP;29
per;NNP;IN;203
geo;IN;RB;27
time;DT;NNP;27
geo;JJ;,;38
geo;,;.;44
geo;JJ;.;90
geo;IN;VBP;126
per;NN;NN;3
per;DT;NNP;17
time;NNS;VBD;20
geo;DT;JJ;50
org;JJ;NNS;35
geo;JJ;NNP;74
geo;IN;TO;88
org;VB;NNS;10
geo;DT;NN;348
geo;IN;VBZ;126
time;VBD;CD;5
time;JJ;IN;78
org;.;NNS;43
geo;JJ;CC;13
org;POS;NN;22
geo;VBG;,;9
geo;DT;NNS;23
geo;,;CC;63
geo;CC;,;19
gpe;JJ;NN;156
gpe;JJ;NNP;39
gpe;NNP;NN;4
time;JJ;CC;12
geo;IN;DT;11
gpe;VBD;NNS;27
org;JJ;NNP;129
gpe;DT;NNS;55
gpe;.;VBD;18
geo;IN;JJ;48
time;JJ;TO;5
org;JJ;NN;76
geo;TO;TO;21
gpe;WDT;NNP;1
gpe;NNP;VBZ;5
gpe;VBZ;CC;4
per;JJ;NNP;390
per;NNP;CC;134
time;JJ;,;53
gpe;IN;NNP;89
per;CC;VBD;5
geo;NNP;IN;113
per;VBZ;NNP;42
org;POS;NNP;76
org;NNP;:;5
time;NN;,;84
gpe;``;NNS;5
per;VBP;VBD;7
org;IN;CC;47
gpe;,;VBZ;7
gpe;CC;VBP;10
gpe;IN;VBD;20
gpe;NNP;IN;10
time;NN;IN;109
geo;NNP;,;184
geo;,;NNP;51
org;IN;NNPS;13
gpe;IN;IN;17
per;VB;NNP;37
time;DT;JJ;29
gpe;CD;VBP;14
gpe;,;NNP;27
gpe;VB;.;3
gpe;VBZ;TO;1
gpe;VB;IN;8
geo;.;NN;13
org;NN;VBZ;22
obj;DT;NN;10
org;VBD;POS;9
geo;IN;MD;24
gpe;VBD;VBZ;6
obj;JJ;NNP;1
obj;NNP;NN;7
obj;IN;,;3
obj;,;,;2
obj;,;CC;1
obj;CC;NNS;1
obj;NN;.;1
geo;NNP;NNS;33
org;IN;IN;34
org;VBD;VBD;3
org;.;VBD;45
obj;IN;.;2
time;.;POS;35
org;,;VBD;12
org;TO;NNP;13
obj;POS;NNP;3
obj;DT;NNP;17
obj;NNP;VBD;1
per;.;RB;17
time;VBZ;CD;4
time;CC;IN;4
obj;IN;NNP;6
obj;NNP;NNP;20
obj;NNP;,;6
time;RB;CD;2
time;DT;NNS;18
per;VBN;NNP;23
per;NNP;POS;160
per;NNP;RBR;1
org;IN;NN;33
org;DT;.;19
time;VBZ;POS;6
org;DT;POS;20
org;POS;CC;4
org;NNP;LRB;29
org;LRB;RRB;38
geo;,;,;136
geo;CC;.;72
time;VBD;.;8
gpe;IN;VBZ;11
gpe;,;MD;2
gpe;IN;POS;23
org;NN;IN;12
gpe;CC;POS;3
time;VBZ;IN;5
gpe;PRP$;NN;17
event;DT;NNP;16
event;CD;NNPS;2
event;NNP;IN;11
event;DT;VBP;1
time;NNP;CD;34
time;JJ;VBZ;4
event;DT;.;1
event;DT;JJ;1
event;CD;NNS;1
gpe;CD;JJ;8
event;``;NNP;2
event;NNP;``;3
geo;.;NNP;55
gpe;NNP;NNS;3
gpe;NNP;POS;11
obj;POS;NN;2
obj;NNP;.;6
gpe;NNP;VBP;4
time;JJ;.;98
gpe;DT;POS;4
time;DT;CC;14
time;VBN;,;30
gpe;IN;NN;88
gpe;DT;NNP;89
per;NNP;RB;62
gpe;DT;JJ;64
obj;JJ;NN;4
per;NN;VBD;9
event;JJ;NNP;4
event;NNP;TO;2
gpe;VB;TO;4
geo;NNP;VBZ;109
obj;NNP;JJ;2
gpe;CC;.;6
geo;CC;VBZ;6
geo;TO;.;49
org;.;CC;19
geo;NNP;NNPS;1
geo;TO;RBR;1
time;NNP;VBD;43
gpe;VBN;POS;1
time;RB;TO;4
time;VBD;TO;10
gpe;VBD;MD;2
time;IN;WRB;15
gpe;WRB;VBD;2
time;NN;JJ;10
gpe;NNP;NNP;19
gpe;IN;JJ;20
org;NN;VBP;5
time;VBN;VBZ;7
per;.;VBZ;34
event;NNP;VBZ;2
obj;PRP$;IN;1
obj;NN;NNP;5
obj;IN;NNPS;1
obj;NNPS;NN;1
per;VBN;VBD;1
event;NNP;,;9
time;VBZ;.;4
geo;NN;.;10
time;NNP;VBP;2
time;RB;.;14
obj;IN;:;2
gpe;DT;,;11
geo;JJ;VBD;15
time;NN;.;49
org;.;IN;5
org;NNP;NNPS;27
gpe;JJ;VBZ;2
gpe;CD;CC;10
gpe;CC;JJ;5
gpe;JJ;NNS;79
gpe;VBP;,;1
gpe;,;,;23
gpe;NNP;,;3
time;VBN;CC;3
time;CC;DT;2
geo;VBZ;POS;17
gpe;JJ;VBG;2
geo;IN;RBR;8
gpe;IN;TO;6
gpe;WRB;NNP;2
geo;VB;.;11
per;,;MD;3
geo;IN;WRB;15
per;VBN;IN;2
per;,;VBZ;4
time;CD;CD;91
time;,;NN;4
org;DT;VBZ;49
gpe;DT;TO;8
gpe;TO;IN;1
gpe;VBG;VBD;1
gpe;IN;,;11
gpe;IN;.;15
org;VBZ;MD;2
geo;TO;,;30
per;WRB;NNP;7
time;NNP;NNS;35
obj;DT;CD;1
gpe;DT;VBZ;2
per;CC;NNP;72
gpe;NNP;CC;3
gpe;VBP;IN;2
gpe;NN;VBZ;1
time;NNS;IN;58
geo;IN;VBG;17
time;VBG;CC;1
time;,;.;13
gpe;VBG;JJ;6
gpe;IN;VBP;12
time;JJ;POS;5
org;PRP$;NNP;10
geo;,;POS;33
gpe;VBN;NNS;7
gpe;CD;VBD;10
time;VBN;WRB;12
gpe;VBG;NNS;15
geo;NNP;RB;16
per;NNP;VBG;7
time;NN;DT;41
geo;DT;MD;5
time;CD;IN;9
org;CC;VBP;6
time;RB;,;34
per;LRB;NNP;6
per;NNP;RRB;6
org;VB;NNP;9
time;VBP;IN;2
gpe;,;VBD;9
time;NN;TO;7
per;VBZ;NNPS;1
per;DT;NN;38
org;IN;,;34
per;VBG;NNP;32
org;NNP;JJ;35
event;IN;NNP;9
event;NNP;NNP;15
event;NNP;.;5
geo;DT;VBZ;21
gpe;CD;IN;8
geo;VB;TO;9
time;NNP;NN;53
geo;TO;MD;4
gpe;,;POS;3
time;RB;IN;21
gpe;CD;NNP;2
org;POS;,;5
geo;DT;IN;35
geo;CC;CC;6
geo;JJ;MD;5
geo;VB;,;7
org;JJ;POS;6
org;VBZ;DT;1
org;TO;IN;5
gpe;VBG;NN;5
gpe;WP;NNS;3
per;IN;.;7
org;DT;JJ;27
gpe;NNP;VBD;6
gpe;,;JJ;7
per;VBN;MD;1
org;RB;IN;1
geo;JJ;VBZ;16
org;,;CC;17
org;NNP;RB;23
geo;NNP;VBD;75
geo;.;NNS;38
time;VBD;,;14
geo;IN;NNS;43
time;NNS;VBP;2
org;VBZ;NNP;10
gpe;VBZ;JJ;1
org;VBG;NNS;9
geo;POS;NN;43
gpe;VBG;TO;3
time;NN;VBD;24
gpe;VBZ;NN;6
gpe;VBG;POS;2
gpe;VBN;MD;1
org;NNPS;NNP;3
geo;DT;NNPS;241
org;JJ;NNPS;7
obj;``;``;1
org;JJ;,;4
geo;JJ;NNS;16
time;NNS;RRB;1
gpe;,;.;1
event;VBG;NNP;2
gpe;DT;IN;13
gpe;DT;CC;15
time;IN;VBG;8
gpe;TO;.;1
org;DT;CC;22
time;DT;.;20
time;NN;:;1
time;:;VBD;2
gpe;VB;POS;4
geo;NNP;DT;9
time;DT;VBD;5
gpe;.;RB;4
gpe;VBD;IN;3
time;JJ;NN;27
time;IN;CC;64
time;CC;,;9
gpe;TO;NNS;9
obj;CC;VBG;1
time;$;CD;3
gpe;NN;NNS;2
org;LRB;IN;1
geo;IN;RRB;2
geo;.;IN;7
time;RBR;,;11
org;NNS;CC;4
time;NNP;TO;26
obj;IN;NNS;1
org;.;NN;30
org;WRB;POS;1
org;``;IN;1
org;,;MD;1
org;VB;NN;5
geo;DT;DT;4
time;.;VBD;4
obj;VBP;NNS;1
time;NNS;TO;8
gpe;PRP;NNS;1
geo;CC;VBP;42
time;IN;NNP;33
org;VBG;NNP;13
org;NNP;$;1
gpe;JJS;IN;1
per;NNP;NN;14
time;NNS;,;17
per;VBG;DT;1
per;CC;VBG;1
time;NNS;CC;1
time;CC;TO;3
geo;TO;POS;16
event;JJ;NN;2
time;NN;NN;17
event;VBD;.;1
per;NNPS;RB;1
geo;MD;NNP;1
gpe;NNP;VB;1
gpe;NNP;MD;1
geo;JJ;JJ;19
org;VBN;NNP;16
geo;,;NNS;4
geo;.;CC;22
gpe;NN;NN;3
org;,;,;27
geo;DT;.;19
org;IN;VBZ;26
time;VBN;NNP;6
time;TO;.;7
org;IN;TO;10
org;VB;RB;1
time;NN;CD;54
time;DT;IN;32
time;NN;NNP;30
gpe;VBZ;POS;2
time;IN;NNS;117
time;NNS;NN;11
per;NNP;WDT;3
per;TO;CC;1
geo;VBD;POS;30
geo;TO;CD;2
geo;VBG;NNP;10
geo;JJ;NNPS;2
geo;JJ;VBP;24
org;,;VBZ;11
geo;VB;NNP;7
time;IN;RRB;3
geo;``;POS;5
org;NNP;VBN;4
org;VBD;NNP;19
time;NNS;PRP$;1
time;PRP$;TO;1
time;TO;NN;1
per;``;NNP;16
time;NN;VBZ;9
org;VB;IN;2
org;NNS;,;3
time;NN;VBG;4
org;TO;.;3
org;,;POS;7
org;CC;.;14
time;NN;LRB;1
time;CD;RRB;2
org;.;JJ;7
time;POS;NN;18
per;VBN;.;1
gpe;VB;NN;10
org;,;.;19
time;IN;NN;31
org;VBN;NN;5
time;VB;IN;12
org;JJ;VBZ;7
time;,;LRB;1
time;LRB;CD;1
time;NNP;RRB;2
per;.;NN;2
org;NNP;MD;24
geo;TO;RB;7
org;VB;POS;7
org;VBP;IN;4
org;CC;VBZ;5
org;VBD;NNS;8
org;VBD;NN;4
gpe;NN;NNP;4
org;VBN;TO;3
org;NN;.;7
org;VBN;VBZ;1
obj;PRP$;NN;2
event;DT;NNPS;4
event;NNP;JJ;2
event;IN;NN;1
event;IN;NNS;1
event;DT;NN;1
geo;VB;IN;23
per;VBZ;IN;1
org;VBG;NN;8
gpe;IN;MD;7
gpe;JJ;VBP;11
time;POS;.;2
time;JJ;WRB;6
gpe;JJS;NN;2
time;NNP;VBG;7
gpe;TO;NNP;5
geo;``;,;2
geo;VBN;NNP;9
gpe;CD;WP;4
time;RBR;DT;1
time;.;IN;3
time;JJR;CD;7
time;JJ;VBD;8
time;POS;JJ;7
time;PRP$;NN;10
time;JJ;DT;3
time;VBD;PRP;20
gpe;,;NN;9
per;NN;IN;1
per;.;CC;8
obj;VBG;NN;1
geo;,;TO;4
org;NNP;RBR;1
gpe;TO;POS;4
per;JJ;VBD;7
gpe;IN;CD;1
gpe;VBD;POS;3
geo;NNP;LRB;4
org;.;NNPS;4
org;.;RB;8
geo;IN;WDT;8
gpe;JJ;CC;7
per;NNP;:;7
per;:;NNP;2
per;NNP;VBP;22
geo;PRP$;,;1
geo;,;NN;8
time;PRP$;NNP;3
org;CD;NN;8
time;CD;JJR;1
geo;VB;POS;38
geo;NNP;VBG;8
time;VBP;.;2
time;JJ;NNP;11
geo;NN;NNP;16
org;JJ;JJ;5
org;VBZ;NNS;5
time;CC;NNS;12
time;NNS;DT;7
org;DT;TO;17
per;NN;RB;2
geo;,;VBD;28
time;,;IN;3
org;VBN;POS;3
org;VBZ;POS;6
time;VBN;VBD;6
geo;CC;RB;7
org;VBP;JJ;1
org;NNPS;IN;1
time;IN;:;14
geo;DT;``;1
org;PRP$;NN;2
org;NN;POS;2
geo;IN;:;7
org;VBD;VBZ;4
gpe;CC;,;2
geo;NNP;MD;18
org;JJ;VBD;8
time;DT;VBN;2
geo;DT;POS;11
obj;DT;VBD;2
per;NNS;NNP;12
org;WDT;VBZ;2
gpe;:;NNP;2
per;IN;IN;6
org;CC;,;8
time;CD;.;16
time;DT;,;17
per;WRB;VBD;2
obj;JJ;,;1
gpe;NNP;RB;1
gpe;DT;LRB;1
org;VBD;MD;5
gpe;VBG;NNP;9
org;VBG;CC;3
org;VBG;,;2
org;.;,;11
org;DT;,;22
org;NN;NN;8
time;VBD;PRP$;2
org;VB;,;2
gpe;VBN;NN;6
org;IN;VBN;1
geo;VB;MD;1
per;NNP;JJ;6
obj;CD;NNS;1
org;VBZ;,;1
org;CC;IN;11
geo;CC;MD;7
time;NNP;DT;15
geo;DT;CC;17
geo;CC;IN;14
org;NN;NNS;3
geo;NNP;TO;32
org;DT;VBN;2
org;VB;VBZ;3
per;NNP;MD;44
geo;,;IN;7
time;RB;PRP$;1
org;TO;POS;3
per;NNP;``;6
geo;IN;NNPS;3
org;WP;NNS;1
geo;TO;NNPS;1
time;VBG;IN;12
geo;NNS;VBZ;5
geo;NN;VBD;3
geo;VBZ;IN;7
org;NNP;RRB;8
org;TO;,;2
geo;POS;,;6
geo;RB;POS;1
per;VB;IN;1
time;VB;NNS;1
time;RP;IN;2
time;VB;CC;2
per;CC;MD;2
org;DT;VBP;4
org;VBZ;NN;4
geo;CC;NNS;14
geo;VBP;IN;7
gpe;VB;VB;1
time;IN;";";5
time;VBD;NNS;7
time;CD;RB;5
gpe;CC;VBD;5
org;NNP;WDT;6
time;:;,;4
org;NNS;NNP;11
obj;IN;CC;3
obj;LRB;RRB;2
time;NNS;JJ;6
time;CD;NNP;13
geo;TO;NNP;38
org;VBZ;TO;4
per;VBD;IN;6
obj;IN;VB;1
per;IN;,;5
geo;.;VBD;33
geo;WP;VBZ;1
geo;JJ;TO;6
org;CD;NNP;13
time;TO;NNP;1
geo;VBD;NNP;12
geo;NNP;POS;62
time;CD;DT;4
time;VBG;,;2
geo;CC;POS;16
time;NNS;CD;15
geo;CC;NNP;30
time;NNS;RB;3
time;NN;NNS;16
geo;.;JJ;10
geo;,;VBZ;13
geo;VBZ;NNS;3
geo;VBD;IN;14
gpe;VBN;VBZ;1
per;VBG;JJ;1
geo;VBZ;VBZ;17
geo;VB;NNS;8
geo;VBN;IN;15
org;JJR;NNS;1
geo;JJR;NN;1
geo;VBZ;TO;2
geo;VBZ;NNP;4
time;,;,;12
time;VBD;POS;7
org;,;NN;4
org;IN;MD;4
org;JJ;TO;4
event;NNP;RB;2
time;RB;NN;9
org;LRB;NNP;5
per;VBP;NN;1
time;VB;DT;2
org;WRB;NNS;2
geo;VBZ;NN;6
org;CC;NN;7
per;NN;VBZ;4
per;IN;CC;2
per;IN;VBZ;7
per;.;POS;14
per;JJS;NNP;1
geo;VBD;VBD;5
time;VBD;NNP;9
org;NNP;TO;29
geo;VBG;POS;17
geo;TO;VBZ;6
geo;``;VBZ;3
per;VBP;VBZ;3
per;,;,;22
geo;VBZ;JJ;2
geo;,;MD;4
geo;JJS;JJ;1
geo;VBD;NNS;4
org;POS;DT;1
per;``;JJ;1
geo;``;NNP;4
per;RB;NNP;6
gpe;CD;,;5
org;IN;CD;2
geo;VB;NN;4
geo;CD;NNP;3
geo;VBN;TO;5
time;VBD;JJ;2
per;JJ;,;2
org;NN;,;4
geo;NN;POS;3
org;PRP$;NNS;2
org;VBN;IN;7
per;VBP;POS;1
per;VBN;POS;3
geo;VBD;CC;3
time;CC;CD;4
geo;JJS;NN;3
geo;PRP$;NNS;2
org;,;NNPS;2
time;,;NNS;5
org;NNP;PRP;2
per;VBZ;MD;2
time;IN;JJ;9
time;CD;NNS;7
time;.;NNP;3
gpe;VB;NNS;27
time;TO;NNS;2
org;VBZ;RB;1
org;NNPS;CC;2
geo;CC;DT;2
gpe;DT;.;9
time;VBZ;DT;1
gpe;POS;NNP;3
org;NNP;CD;13
time;VBN;NNS;7
geo;VBZ;.;4
org;JJ;RBR;1
per;JJ;NNS;5
time;POS;NNS;2
per;NNP;NNS;6
per;JJ;NN;5
time;CD;,;8
geo;VB;CC;5
geo;VBN;NN;3
geo;VBD;VBZ;12
time;RB;:;2
time;NNP;RB;6
event;IN;NNPS;1
event;NNPS;CC;1
event;CC;:;1
geo;NN;TO;1
time;TO;JJ;1
gpe;TO;RB;1
org;JJ;RB;2
geo;VBP;VBZ;8
geo;VBZ;CC;3
geo;RB;,;1
gpe;DT;VBD;11
time;VBN;POS;3
org;LRB;POS;1
time;RRB;,;1
org;NN;VBD;9
org;VBD;,;5
event;DT;NNS;2
per;NNP;DT;5
per;NNS;CC;1
org;VB;JJ;1
org;,;VBG;2
geo;RP;,;1
gpe;DT;PRP;1
gpe;VBP;CC;3
org;VBN;NNS;7
geo;IN;LRB;8
geo;LRB;RRB;7
time;IN;RB;9
gpe;CC;RB;1
org;VBD;IN;6
gpe;";";NN;1
gpe;.;VBP;8
time;:;.;2
org;DT;";";1
org;TO;NNS;6
time;TO;,;7
gpe;RB;VBZ;1
org;DT;LRB;2
event;NNP;CC;2
event;NNP;VBD;3
time;.;CD;4
time;NNP;JJ;10
gpe;VBG;VBP;1
time;NN;WDT;2
geo;PRP$;NN;10
geo;PRP$;JJ;1
per;VBD;VBZ;2
time;RBR;CD;1
time;.;NNS;7
gpe;VBN;NNP;5
time;VBN;NN;8
geo;DT;,;12
time;RP;.;1
event;VBD;NNP;2
event;NNP;POS;2
event;POS;NNP;2
geo;VBD;MD;9
org;CD;``;1
geo;TO;NNS;5
geo;VBG;VBG;1
time;VBN;TO;2
time;RP;NN;1
org;CC;NNPS;2
org;``;VBD;1
geo;.;,;13
event;NNP;NN;4
time;VBG;CD;3
per;JJ;VBZ;4
time;VBD;VBD;3
event;NN;NNP;1
event;NNP;NNS;6
time;VBN;VBG;1
time;VBG;POS;2
geo;JJ;WRB;1
geo;VBN;NNS;5
gpe;VBD;NNP;6
per;NNP;VBN;2
time;,;NNP;3
time;IN;PRP$;1
geo;IN;PRP$;3
org;CC;VBD;9
per;VBG;VB;1
gpe;VBN;TO;1
gpe;CD;VBN;3
time;.;VBZ;4
geo;WP;NNP;1
time;JJ;CD;14
time;NNS;WRB;2
geo;TO;CC;10
obj;NNP;VBZ;5
gpe;WRB;VBZ;1
geo;VBG;:;1
geo;:;,;2
time;JJS;,;2
org;VBD;TO;2
time;VBD;NN;7
gpe;NNP;VBG;3
geo;TO;JJ;5
geo;DT;VBP;3
gpe;RBR;NNS;1
geo;VBG;IN;13
geo;IN;``;3
org;NNPS;NNS;1
geo;VBG;VBZ;5
geo;CC;VBG;1
geo;CC;NNPS;2
time;POS;CD;6
org;POS;NNS;3
org;JJ;VBP;3
geo;NNP;RBR;4
gpe;VBP;NNP;3
per;VBG;IN;1
org;WRB;VBZ;2
geo;VBZ;MD;4
org;VBG;VBZ;3
obj;NNP;MD;1
time;NNS;NNP;17
time;NN;MD;1
time;IN;LRB;2
geo;VBD;NN;4
geo;RBS;JJ;1
per;NN;MD;1
per;JJ;POS;1
obj;JJ;IN;1
obj;NN;DT;1
obj;IN;NN;1
geo;DT;";";1
gpe;JJ;,;2
gpe;JJ;.;10
gpe;JJ;POS;1
geo;JJ;LRB;1
org;CD;VBD;1
gpe;RB;NNS;3
per;DT;CC;3
org;NN;RB;1
per;DT;IN;4
geo;JJ;RBR;3
gpe;CD;PRP;1
per;IN;NN;1
time;CD;VBD;2
org;POS;NNPS;3
org;NNPS;,;2
gpe;VBN;IN;3
org;DT;MD;4
obj;NNP;IN;1
event;.;LRB;1
per;RRB;NNP;1
org;VBD;JJ;5
geo;NNP;WDT;5
geo;VBD;JJR;1
time;RB;NNS;11
time;CC;JJ;2
time;LRB;:;1
time;:;RRB;1
time;IN;WDT;2
org;IN;LRB;3
time;TO;CC;1
time;PRP$;JJ;1
org;NNP;VBG;4
time;LRB;RRB;2
time;.;NN;2
time;DT;DT;2
org;WRB;RB;1
gpe;DT;VBP;4
gpe;VBD;CC;2
gpe;CC;TO;1
gpe;JJS;CC;1
geo;VBD;JJ;1
geo;VBG;MD;2
time;VBG;VBZ;2
gpe;VB;JJ;3
geo;NNP;:;4
geo;WDT;NNS;1
geo;VBN;.;3
gpe;TO;NN;10
org;CC;:;2
geo;NNPS;IN;1
gpe;IN;RB;2
time;VB;NN;2
geo;.;RB;8
org;,;RB;3
gpe;JJ;RB;3
per;VBN;CC;1
gpe;JJ;IN;6
per;VBP;IN;1
per;CC;NNS;3
org;NNPS;NNPS;1
time;DT;``;1
geo;``;IN;1
per;NNP;WP;3
org;WRB;VBP;1
geo;VBD;DT;1
geo;VBG;CC;6
per;WP;NNP;1
gpe;VBZ;.;2
geo;POS;NNPS;4
per;DT;POS;3
per;WDT;NNP;4
geo;NN;,;4
geo;VBP;,;3
geo;VBD;.;1
time;VB;TO;4
event;CD;NNP;1
geo;CC;JJ;2
per;NNP;CD;2
time;VB;POS;1
org;JJ;CD;2
per;.;MD;2
org;JJ;``;1
org;``;NNP;3
org;NNP;``;2
gpe;.;,;4
geo;NN;MD;2
geo;VBG;VB;2
per;JJ;VBP;1
gpe;VBD;.;2
geo;VBN;POS;5
geo;VBP;NNP;7
time;NNS;NNS;3
per;.;``;1
per;``;``;2
per;``;VBZ;1
time;PRP$;NNS;1
per;VBD;POS;5
time;VBN;.;7
geo;VBD;TO;6
gpe;CD;.;9
org;NNP;DT;13
geo;DT;RB;3
geo;TO;VBD;5
geo;DT;CD;1
time;IN;VBP;2
gpe;NNS;CC;1
org;:;:;1
per;IN;NNS;6
geo;NNS;POS;1
gpe;.;IN;2
geo;VBZ;,;5
obj;NN;VBZ;2
time;RB;PRP;2
obj;NN;RB;1
obj;,;RB;1
org;CC;CC;1
obj;NN;TO;1
gpe;RB;IN;2
geo;DT;TO;6
geo;VBP;NN;2
geo;CD;NN;7
geo;IN;CD;5
geo;.;CD;1
time;TO;VBZ;1
geo;VB;RB;3
per;.;NNS;7
time;VBD;JJR;1
org;POS;RB;2
geo;WRB;VBZ;3
obj;JJ;.;2
org;NN;JJ;1
org;NNS;JJ;1
time;,;CD;3
org;CD;VBP;1
org;CD;CC;2
gpe;VBG;IN;1
time;.;DT;5
geo;CC;VBD;16
geo;DT;:;1
geo;NNS;NNP;2
geo;PRP$;NNP;8
geo;,;RB;3
event;NNP;LRB;1
time;LRB;IN;1
per;NN;POS;1
geo;RB;.;3
geo;WRB;NNP;3
per;RB;RB;1
gpe;JJ;TO;2
time;IN;MD;2
time;CC;VBD;1
gpe;``;VBP;1
gpe;JJ;VB;1
time;,;VBZ;1
gpe;JJ;MD;2
gpe;VBD;VBP;2
org;DT;``;1
per;VBP;,;1
time;CD;JJ;1
time;DT;TO;2
per;VB;CC;1
time;``;NN;1
per;IN;MD;2
time;VB;,;4
gpe;RP;CC;1
per;CC;IN;1
org;VB;CC;3
org;CC;DT;2
org;CC;MD;4
org;NN;NNPS;2
gpe;WRB;NN;2
time;CD;NN;6
gpe;POS;JJ;2
geo;WDT;MD;2
org;VBG;VBD;1
geo;NNP;VBN;2
geo;WP;NNS;1
geo;VBP;CC;3
time;NNPS;NNS;1
gpe;VBP;VBZ;1
gpe;RB;JJ;1
gpe;NN;POS;1
time;IN;VBZ;7
org;JJS;NNP;2
geo;``;NN;2
geo;JJR;,;1
geo;WDT;VBZ;5
time;CC;NNP;1
gpe;VBD;TO;2
per;IN;TO;1
time;JJR;NN;1
gpe;.;VBG;1
geo;WRB;PRP;1
gpe;IN;VBG;2
time;VBG;.;4
geo;NNS;VBD;2
time;JJR;,;1
geo;CD;JJ;2
geo;TO;NN;4
geo;:;VBZ;1
time;RP;TO;1
time;VBN;VBP;1
geo;LRB;POS;1
org;JJ;RRB;1
geo;NN;VBZ;3
org;NNPS;VBD;1
gpe;VBG;.;2
per;VB;POS;3
per;CC;VBP;2
time;VBG;TO;2
org;RB;NN;2
obj;NNP;LRB;2
org;JJR;NNP;1
org;VBP;MD;1
geo;WRB;POS;3
geo;VBZ;VBD;3
geo;``;VBD;1
org;NNS;NNS;2
gpe;CD;NNPS;2
org;POS;JJ;3
obj;CC;CC;1
obj;CC;,;1
time;NN;VBP;3
geo;VBD;WRB;1
org;VB;TO;2
time;VBP;POS;4
time;VBN;RB;2
org;POS;IN;5
per;TO;.;2
time;,;CC;3
org;,;IN;2
time;VBD;WRB;4
gpe;VB;RB;1
obj;DT;CC;1
obj;CC;.;2
org;IN;DT;1
geo;NNS;:;1
per;VBZ;.;1
org;DT;CD;3
per;VBG;CC;1
per;CC;.;2
time;IN;PRP;1
org;POS;VBD;1
org;VBP;POS;2
geo;VBG;TO;2
per;,;NN;1
time;NN;CC;8
time;VBG;VBD;1
per;CD;NNP;1
org;VB;.;2
event;NNP;VB;1
per;VBG;POS;4
gpe;DT;MD;1
org;VBD;CC;3
org;VB;VB;1
