Word;POS;Tag
News;NNP;org
Dianne;NNP;per
Sawyer;NNP;per
The;DT;obj
Simple;NNP;obj
Life;NNP;obj
Joel;NNP;per
Madden;NNP;per
Good;NNP;org
Charlotte;NNP;org
Good;NNP;obj
Morning;NNP;obj
America;NNP;obj
Senator;NNP;per
John;NNP;per
Warner;NNP;per
Virginia;NNP;geo
University;NNP;org
Virginia;NNP;org
Senate;NNP;org
Armed;NNP;org
Services;NNP;org
Committee;NNP;org
Navy;NNP;org
Nations;NNP;org
Indian;NNP;geo
Ocean;NNP;geo
U.N.;NNP;org
Food;NNP;org
Agricultural;NNP;org
FAO;NNP;org
Maldives;NNP;geo
Sri;NNP;geo
Lanka;NNP;geo
Thailand;NNP;geo
Bekasi;NNP;geo
Jakarta;NNP;geo
Tangerang;NNP;geo
Thailand;NNP;gpe
Islamic;NNP;org
Malaysia;NNP;geo
Thai;JJ;gpe
Deputy;NNP;per
Interior;NNP;per
Sutham;NNP;per
Saengprathum;NNP;per
Kelantan;NNP;geo
Malaysia;NNP;gpe
Bangkok;NNP;gpe
Thaksin;NNP;per
Shinawatra;NNP;per
Indonesia;NNP;gpe
Muslims;NNS;org
Chinese;JJ;gpe
Shanghai;NNP;geo
Japanese;JJ;gpe
Japan;NNP;gpe
Tokyo;NNP;gpe
Beijing;NNP;geo
State;NNP;per
Councilor;NNP;per
Tang;NNP;per
Jiaxuan;NNP;per
Xinhua;NNP;org
China;NNP;gpe
Japan;NNP;geo
Nobutaka;NNP;per
Machimura;NNP;per
Li;NNP;per
Zhaoxing;NNP;per
Summer;NNP;event
Olympics;NNPS;event
London;NNP;geo
Games;NNPS;event
Olympic;NNP;org
Delivery;NNP;org
Authority;NNP;org
Tony;NNP;per
Blair;NNP;per
London;NNP;gpe
China;NNP;geo
Olympic;JJ;event
Sam;NNP;per
Beattie;NNP;per
Sichuan;NNP;geo
Kandahar;NNP;geo
Operation;NNP;event
Medusa;NNP;event
Lankan;NNP;gpe
Tamil;NNP;org
Colombo;NNP;geo
Dharmeratnam;NNP;per
Sivaram;NNP;per
TamilNet;NNP;org
Web;NNP;obj
Sri;NNP;gpe
Lanka;NNP;gpe
Daily;NNP;obj
Mirror;NNP;obj
Sri;NNP;org
Lankan;NNP;geo
Tiger;NNP;org
Pyongyang;NNP;gpe
Saddam;NNP;per
Hussein;NNP;per
Human;NNP;org
Rights;NNP;org
Watch;NNP;org
Department;NNP;org
Egypt;NNP;gpe
WHO;NNP;org
Egyptians;NNS;gpe
Egypt;NNP;geo
Asia;NNP;geo
Iraq;NNP;gpe
Federal;NNP;org
Reserve;NNP;org
Chairman;NNP;per
Paul;NNP;per
Volcker;NNP;per
Gulf;NNP;event
War;NNP;event
Kyrgyzstan;NNP;gpe
Justice;NNP;org
Tynychbek;NNP;per
Akmatbayev;NNP;per
Bishkek;NNP;geo
Murat;NNP;per
Sutalinov;NNP;per
Kyrgyz;JJ;gpe
Western;NNP;geo
Europe;NNP;geo
France;NNP;gpe
Aigle;NNP;org
Azur;NNP;org
Charles;NNP;obj
De;NNP;obj
Gaulle;NNP;obj
Paris;NNP;geo
Baghdad;NNP;obj
International;NNP;obj
Airport;NNP;obj
Trade;NNP;per
Anne-Marie;NNP;per
Idrac;NNP;per
Etihad;NNP;org
Emirates;NNP;org
United;NNP;geo
Emirates;NNPS;geo
January;NNP;time
Labor;NNP;org
Venezuelan;JJ;gpe
Hugo;NNP;per
Chavez;NNP;per
Colombia;NNP;gpe
Colombian;JJ;gpe
Alvaro;NNP;per
Uribe;NNP;per
Defense;NNP;per
Juan;NNP;per
Manuel;NNP;per
Santos;NNP;per
Venezuela;NNP;gpe
March;NNP;time
Ecuador;NNP;geo
Religious;NNP;org
Freedom;NNP;org
Liu;NNP;per
Jianchao;NNP;per
U.S;NNP;gpe
White;NNP;org
House;NNP;org
Uganda;NNP;gpe
Lord;NNP;org
Resistance;NN;org
LRA;NNP;org
Sudan;NNP;geo
Joseph;NNP;per
Kony;NNP;per
Criminal;NNP;org
Court;NNP;org
Uganda;NNP;geo
Roger;NNP;per
Federer;NNP;per
Australian;NNP;event
Open;NNP;event
Swiss;JJ;gpe
German;JJ;gpe
Tommy;NNP;per
Haas;NNP;per
Kooyong;NNP;event
Classic;NNP;event
Melbourne;NNP;geo
Association;NN;obj
Tennis;NNP;obj
Professionals;NNPS;obj
Tour;NNP;obj
European;NNP;org
Space;NNP;org
Agency;NNP;org
Saturn;NNP;geo
Titan;NNP;geo
Germany;NNP;geo
Huygens;NNP;obj
Cassini;NNP;obj
European;JJ;geo
Italian;JJ;gpe
Earth;NNP;geo
Ugandan;JJ;gpe
Kizza;NNP;per
Besigye;NNP;per
Dr.;NNP;per
Kampala;NNP;geo
Yoweri;NNP;per
Museveni;NNP;per
High;NNP;org
Bosco;NNP;per
Katutsi;NNP;per
Barack;NNP;per
Obama;NNP;per
White;NNP;obj
House;NNP;obj
Rose;NNP;obj
Garden;NNP;obj
African-American;JJ;gpe
Regina;NNP;per
Benjamin;NNP;per
Surgeon;NNP;per
Democrats;NNS;org
Representatives;NNPS;org
Americans;NNS;gpe
Bank;NNP;org
African;JJ;gpe
Latin;JJ;gpe
Wolfowitz;NNP;per
G-8;NNP;org
Africa;NNP;geo
Benin;NNP;gpe
Bolivia;NNP;gpe
Burkina;NNP;gpe
Faso;NNP;gpe
Ghana;NNP;gpe
Guyana;NNP;gpe
Honduras;NNP;gpe
Madagascar;NNP;gpe
Mali;NNP;gpe
Mozambique;NNP;gpe
Nicaragua;NNP;gpe
Niger;NNP;gpe
Rwanda;NNP;gpe
Senegal;NNP;gpe
Tanzania;NNP;gpe
Zambia;NNP;gpe
Tehran;NNP;geo
Iranian;JJ;gpe
TV;NNP;org
Air;NNP;org
Quality;NNP;org
Control;NNP;org
Company;NNP;org
Saudi;NNP;geo
Arabia;NNP;geo
Israelis;NNS;gpe
Tel;NNP;geo
Aviv;NNP;geo
Ramallah;NNP;geo
Ariel;NNP;per
Sharon;NNP;per
Russia;NNP;gpe
Biak;NNP;geo
Papua;NNP;geo
Guinea;NNP;geo
Susilo;NNP;per
Bambang;NNP;per
Yudhoyono;NNP;per
Algerian;JJ;gpe
France;NNP;geo
Rachid;NNP;per
Ramda;NNP;per
Group;NNP;org
Central;NNP;gpe
African;NNP;gpe
Republic;NNP;gpe
CAR;NNP;gpe
Democratic;NNP;gpe
Congo;NNP;gpe
Congolese;JJ;gpe
Yu;NNP;per
Hagino;NNP;per
Uji;NNP;geo
Bakri;NNP;per
Mohammed;NNP;per
Muslims;NNPS;org
Downing;NNP;obj
Street;NNP;obj
Britain;NNP;gpe
Beirut;NNP;geo
Muslim;NN;org
France;NNP;obj
Osama;NNP;per
Laden;NNP;per
Washington;NNP;gpe
Chiefs;NNP;org
Staff;NNP;org
Mike;NNP;per
Mullen;NNP;per
Admiral;NNP;per
Brigadier;NNP;per
Ahmad;NNP;per
Vahidi;NNP;per
Tehran;NNP;gpe
Georgia;NNP;gpe
Iran;NNP;geo
Mikhail;NNP;per
Saakashvili;NNP;per
Georgia;NNP;geo
Georgian;JJ;gpe
Georgians;NNS;gpe
Peru;NNP;gpe
Alberto;NNP;per
Fujimori;NNP;per
Peruvian;JJ;gpe
Tokyo;NNP;geo
Si;NNP;org
Cumple;NNP;org
Peru;NNP;geo
Lima;NNP;gpe
Kenyan;JJ;gpe
Kenyan;NN;gpe
Danish;JJ;gpe
Nairobi;NNP;geo
Middle;NNP;geo
East;NNP;geo
India;NNP;geo
Bangladesh;NNP;geo
Venezuela;NNP;geo
Council;NN;org
Faith;NNP;org
Malaysian;JJ;gpe
Abdullah;NNP;per
Badawi;NNP;per
Shaanxi;NNP;geo
India;NNP;org
Pakistan;NNP;org
Kashmir;NNP;geo
Wael;NNP;per
Guardian;NNP;org
Ahmadinejad;NNP;per
Europe;NNP;gpe
Zambian;JJ;gpe
Levy;NNP;per
Mwanawasa;NNP;per
Information;NNP;per
Mulongoti;NNP;per
Zimbabwe;NNP;geo
Zimbabwean;JJ;gpe
Robert;NNP;per
Mugabe;NNP;per
Harare;NNP;gpe
Southern;NNP;org
Development;NNP;org
Community;NNP;org
Gene;NNP;per
Sperling;NNP;per
National;NNP;org
Bill;NNP;per
Clinton;NNP;per
Lawrence;NNP;per
Summers;NNPS;per
Treasury;NNP;per
Secretary;NNP;per
Timothy;NNP;per
Geithner;NNP;per
D.C.;NNP;geo
William;NNP;per
Daley;NNP;per
Rahm;NNP;per
Emmanuel;NNP;per
Bosnia-Herzegovina;NNP;gpe
Bosnian;JJ;gpe
Serb;JJ;gpe
Srebrenica;NNP;geo
Dragan;NNP;per
Neskovic;NNP;per
Bijeljina;NNP;geo
World;NNP;event
II;NNP;event
Hague;NNP;geo
Serbs;NNS;gpe
Radovan;NNP;per
Karadzic;NNP;per
Shaanxi;NNP;org
Provincial;NNP;org
Archaeological;NNP;org
Research;NNP;org
Neolithic;JJ;time
New;NNP;time
Stone;NNP;time
Age;NNP;time
Philip;NNP;per
Alston;NNP;per
King;NNP;per
Bhumibol;NNP;per
Adulyadej;NNP;per
Nablus;NNP;geo
Martyrs;NNP;org
Brigades;NNP;org
Party;NNP;org
Horn;NNP;geo
Ghormley;NNP;per
Djibouti;NNP;geo
Meles;NNP;per
Zenawi;NNP;per
Resistance;NNP;org
James;NNP;per
Obita;NNP;per
Juba;NNP;geo
Islamic;NNP;gpe
State;NNP;gpe
Abu;NNP;per
Kevin;NNP;per
Bergner;NNP;per
Guantanamo;NNP;geo
Bay;NNP;geo
Force;NNP;org
Thomas;NNP;per
Hemingway;NNP;per
Center;NNP;org
Constitutional;NNP;org
Popular;NNP;org
Committees;NNS;org
Palestinian;NNP;org
Jihad;NNP;org
Khan;NNP;geo
Younis;NNP;geo
Adnan;NNP;per
Green;NNP;geo
Zone;NNP;geo
Dulaymi;NNP;per
Tal;NNP;geo
Afar;NNP;geo
Kirkuk;NNP;geo
Tarmiyah;NNP;geo
Judaidah;NNP;geo
Special;NNP;org
Forces;NNP;org
Sadr;NNP;geo
Shi'ite;NNP;org
Moqtada;NNP;per
Zalinge;NNP;geo
Ron;NNP;per
Redmond;NNP;per
Hashem;NNP;per
Ashibli;NNP;per
Sunni;NNP;gpe
Arab;NN;gpe
Saadoun;NNP;per
Ibrahim;NNP;per
Bahr;NNP;per
Transportation;NNP;org
Zoba;NNP;per
Yass;NNP;per
Mian;NNP;geo
Channu;NNP;geo
Yusuf;NNP;per
Raza;NNP;per
Gilani;NNP;per
Luis;NNP;per
Posada;NNP;per
Carriles;NNP;per
CIA;NNP;org
May;NNP;time
Pervez;NNP;per
Musharraf;NNP;per
Pakistanis;NNS;gpe
Centers;NNPS;org
Disease;NNP;org
States;NNPS;geo
CDC;NNP;org
Saud;NNP;per
Aziz;NNP;per
Agha;NNP;per
Ziauddin;NNP;per
Gilgit;NNP;geo
Rawalpindi;NNP;geo
Lashkar-e-Jhangvi;NNP;org
Latvia;NNP;obj
Latgalians;NNS;org
Baltic;NNP;geo
Latvian;JJ;gpe
A.D.;NNP;time
Germans;NNS;gpe
Poles;NNS;gpe
Swedes;NNS;gpe
Russians;NNS;gpe
I;NNP;event
USSR;NNP;gpe
US;NNP;gpe
Latvia;NNP;gpe
Soviet;NNP;gpe
Union;NNP;gpe
Moscow;NNP;gpe
EU;NNP;org
Latin;NNP;geo
America;NNP;geo
Bolivian;JJ;gpe
Swazis;NNS;gpe
British;NNS;gpe
MSWATI;NNP;per
III;NNP;per
Democratic;NNP;org
Swaziland;NNP;gpe
Botswana;NNP;gpe
Spanish;NNS;gpe
Trinidad;NNP;geo
Caribbean;NNP;geo
Tobago;NNP;geo
Spanish;JJ;gpe
Spain;NNP;geo
Fernando;NNP;per
Andreu;NNP;per
Kenya;NNP;geo
China;NNP;org
Health;NNP;per
Gao;NNP;per
Qiang;NNP;per
Norwegian;JJ;gpe
Svalbard;NNP;geo
Norway;NNP;gpe
Jens;NNP;per
Stoltenberg;NNP;per
Nobel-Prize;NNP;obj
Wangari;NNP;per
Maathai;NNP;per
Abu;NNP;org
Musab;NNP;org
Irbil;NNP;geo
Dohuk;NNP;geo
Hilla;NNP;geo
Islamic;NNP;geo
Jihad;NNP;geo
Islamic;JJ;org
Jabaliya;NNP;geo
Islamic;JJ;geo
Jihad;NN;geo
Shahdi;NNP;geo
Mohanna;NNP;geo
Reuters;NNS;org
Afghans;NNS;gpe
Kabul;NNP;geo
Hamid;NNP;per
Su-24;NNP;obj
Far;NNP;geo
Khabarovsk;NNP;geo
Crimea;NNP;geo
Sevastopol;NNP;geo
Ukrainian;JJ;gpe
Russia;NNP;org
Ukraine;NNP;geo
Black;NNP;org
Sea;NNP;org
Ukraine;NNP;org
Moscow;NNP;org
Cairo;NNP;geo
Egypt;NNP;org
Brotherhood;NN;geo
Topol-M;NNP;obj
Ivanov;NNP;per
Topol;NNP;obj
Khost;NNP;geo
Arizona;NNP;geo
Minuteman;NNP;org
Project;NNP;org
Gilchrist;NNP;per
Washington;NNP;org
Times;NNP;org
Mara;NNP;geo
Salvatrucha;NNP;geo
MS-13;NNP;geo
Tombstone;NNP;time
Alliance;NNP;org
Rights;NNPS;org
Central;NNP;org
South;NNP;org
America;NNP;org
Colombia;NNP;geo
Colombia;NNP;org
El;NNP;org
Salvador;NNP;org
Red;NNP;org
Solidaria;NNP;org
Salvadorans;NNS;gpe
Silvio;NNP;per
Berlusconi;NNP;per
Romano;NNP;per
Prodi;NNP;per
Shi'ite;NNP;geo
Muslim;NNP;geo
New;NNP;org
Baghdad;NNP;org
Karbala;NNP;geo
Ashura;NNP;event
Christmas;NNP;event
Moses;NNPS;per
Bittok;NNP;per
Iowa;NNP;geo
Shinzo;NNP;per
Abe;NNP;per
Liberal;NNP;org
Kilju;NNP;geo
Fox;NNP;org
Adviser;NNP;org
Stephen;NNP;per
Hadley;NNP;per
North;JJ;geo
Korean;JJ;gpe
Green;NNP;org
Zone;NNP;org
Obeidi;NNP;per
Syrian;JJ;gpe
Euphrates;NNP;geo
River;NNP;geo
Markos;NNP;per
Kypriano;NNP;per
Roche;NNP;per
Tamiflu;NNP;geo
Margaret;NNP;per
Chan;NNP;per
Inter-American;NNP;org
Haitian;JJ;gpe
Haiti;NNP;geo
Boston;NNP;geo
Miami;NNP;geo
New~York;NNP;geo
Canada;NNP;geo
France;NNP;org
Bahamas;NNPS;geo
Yury;NNP;per
Yekhanurov;NNP;per
Yekhanurov;NNP;org
State;NNP;org
Burma;NNP;gpe
Burmese;JJ;gpe
Burma;NNP;org
Media;NNP;org
Rangoon;NNP;geo
Aung;NNP;org
Oo;NNP;org
Daw;NNP;per
Sint;NNP;per
Aung;NNP;per
Nippon;NNP;org
Network;NNP;org
Bangkok;NNP;org
HMS;NNP;per
Scott;NNP;per
Sumatra;NNP;geo
Island;NNP;geo
Ohio;NNP;gpe
Representative;NN;org
Bob;NNP;per
Ney;NNP;per
Administration;NNP;org
Jack;NNP;per
Abramoff;NNP;per
Texas;NNP;gpe
Tom;NNP;per
DeLay;NNP;per
Majority;NNP;org
Leader;NNP;org
Italy;NNP;geo
Britain;NNP;geo
Hamdi;NNP;per
Issac;NNP;per
Hussain;NNP;per
Ciampino;NNP;geo
Mississippi;NNP;geo
Illinois;NNP;geo
Corps;NNP;org
Engineers;NNP;org
Central;NNP;geo
Guard;NNP;org
Iowa;NNP;org
Reconstruction;NNP;geo
Congress;NNP;org
Chilean;JJ;gpe
Augusto;NNP;per
Pinochet;NNP;per
Victor;NNP;per
Montiglio;NNP;per
Pinochet;NNP;org
Operation;NNP;per
Colombo;NNP;per
Contreras;NNP;per
Mercosur;NNP;org
Venezuela;NNP;org
Argentina;NNP;org
Brazil;NNP;org
Paraguay;NNP;org
Uruguay;NNP;org
Evo;NNP;per
Morales;NNP;per
Brazilian;JJ;gpe
Luiz;NNP;per
Inacio;NNP;per
Lula;NNP;per
Silva;NNP;per
Brazil;NNP;geo
Bolivia;NNP;geo
Mercosur;NNP;geo
Nicanor;NNP;per
Duarte;NNP;per
Aceh;NNP;geo
UTC;NNP;time
Banda;NNP;geo
Geological;NNP;org
Survey;NNP;org
Social;NNP;org
Kerry;NNP;per
Spanish;JJ;obj
Ken;NNP;per
Salazar;NNP;per
Colorado;NNP;geo
Gulf;NNP;geo
Aden;NNP;geo
Yemen;NNP;geo
Yemeni;JJ;gpe
Somalians;NNPS;per
Commissioner;NNP;org
Refugees;NNP;org
Abdul;NNP;org
Saboor;NNP;org
Farid;NNP;org
Farid;NNP;per
Baquba;NNP;geo
Balad;NNP;per
Ruz;NNP;per
Baiji;NNP;geo
Ali;NNP;per
Western;JJ;org
Baathist;NNP;org
States;NNP;org
Government;NNP;org
Endangered;NNP;obj
Species;NNP;obj
Act;NNP;obj
Sisco;NNP;per
Atomic;NNP;org
Energy;NNP;org
Iran;NNP;org
Arak;NNP;geo
Donald;NNP;per
Rumsfeld;NNP;per
Balad;NNP;geo
Ruz;NNP;geo
Musab;NNP;per
Iraqi;JJ;org
Iyad;NNP;per
Allawi;NNP;per
Nigerian;JJ;gpe
Polish;JJ;gpe
Warri;NNP;geo
Delta;NNP;org
Nigeria;NNP;org
Treasury;NNP;org
KindHearts;NNP;org
Israel;NNP;org
Olympic;NNP;event
Shaowu;NNP;per
Athens;NNP;org
Greece;NNP;geo
Tibet;NNP;geo
Obesity;NNP;org
Task;NNP;org
Carol;NNP;per
Pearson;NNP;per
Vision;NNP;org
Australia;NNP;org
Costello;NNP;per
Hassan;NNP;per
Hushiar;NNP;per
York;NNP;org
Condoleezza;NNP;per
Rice;NNP;per
Jalal;NNP;per
Talabani;NNP;per
Ms.;NNP;per
Dick;NNP;per
Cheney;NNP;per
Adil;NNP;per
Mahdi;NNP;per
Iraqis;NNS;gpe
Jerusalem;NNP;geo
Saeb;NNP;per
Erekat;NNP;per
Kadima;NNP;org
Chakul;NNP;geo
Helmand;NNP;geo
Later;RB;time
Conservative;NNP;org
California;NNP;geo
Santa;NNP;geo
Barbara;NNP;geo
Nouri;NNP;per
Saddam;NNP;geo
Hussein;NNP;geo
Moqtada;NNP;geo
Nuristan;NNP;geo
Kamdesh;NNP;time
More;JJR;time
U.S.-led;JJ;time
Afghanistan;NNP;org
Mstislav;NNP;per
Rostropovich;NNP;per
February;NNP;time
Vladimir;NNP;per
Putin;NNP;per
Galina;NNP;per
Vishnevskaya;NNP;per
Soviet;NNP;geo
Union;NNP;geo
Google;NNP;org
Internet;NNP;obj
Mountain;NNP;geo
View;NNP;geo
West;NNP;org
Jenin;NNP;geo
Andre;NNP;per
Agassi;NNP;per
Delray;NNP;event
Beach;NNP;event
International;NNP;event
Florida;NNP;geo
Spain;NNP;gpe
Guillermo;NNP;per
Garcia-Lopez;NNP;per
Spaniard;NN;gpe
Xavier;NNP;per
Malisse;NNP;per
Belgium;NNP;gpe
Florian;NNP;per
Mayer;NNP;per
Germany;NNP;gpe
Luxembourg;NNP;gpe
Gilles;NNP;per
Muller;NNP;per
Vince;NNP;per
Spadea;NNP;per
Lee;NNP;per
Hyung-taik;NNP;per
Korea;NNP;geo
Lebanese;JJ;gpe
Rafik;NNP;per
Hariri;NNP;per
Vienna;NNP;geo
Austrian;JJ;gpe
Damascus;NNP;org
Syria;NNP;geo
Syria;NNP;org
Hillary;NNP;per
Rodham;NNP;per
York;NNP;geo
Mrs.;NNP;per
Los;NNP;geo
Angeles;NNP;geo
Hollywood;NNP;geo
San;NNP;per
Suu;NNP;per
Kyi;NNP;per
Vijay;NNP;per
Nambiar;NNP;per
U.N.;NNP;per
Secretary-General;NNP;org
Ban;NNP;per
Ki-moon;NNP;per
Nobel;NNP;obj
Peshawar;NNP;geo
Pakistani;JJ;org
Muhsin;NNP;per
Musa;NNP;per
Matwali;NNP;per
Atwah;NNP;per
Tanzania;NNP;geo
Eritrea;NNP;geo
Eastern;NNP;org
Front;NNP;org
Barka;NNP;geo
Valley;NNP;geo
Tokar;NNP;geo
Port;NNP;per
Red;NNP;geo
Sea;NNP;geo
XVI;NNP;per
L'Aquilla;NNP;geo
Maria;NNP;geo
Collemaggio;NNP;geo
Onna;NNP;geo
Abruzzo;NNP;geo
Lieutenant;NN;per
Barno;NNP;per
Afghanistan;NNP;gpe
Berlin;NNP;org
Wall;NNP;org
Helmut;NNP;per
Kohl;NNP;per
Herbert;NNP;per
Walker;NNP;per
Gorbachev;NNP;per
Berlin;NNP;geo
Chancellor;NN;per
Iron;NNP;org
Curtain;NNP;org
Icelanders;NNS;gpe
Denmark;NNP;org
Reykjavik;NNP;geo
Iceland;NNP;org
Geir;NNP;per
Haarde;NNP;per
Monetary;NNP;org
Fund;NNP;org
Civil;NNP;org
Liberties;NNPS;org
Pentagon;NNP;org
Intelligence;NNP;org
DIA;NNP;org
ACLU;NNP;org
Information;NNP;org
Act;NNP;org
Zurab;NNP;per
Zhvania;NNP;per
Voice;NNP;org
Georgia;NNP;org
National;NNP;per
Security;NNP;per
Advisor;NNP;per
Abkhazia;NNP;geo
Seoul;NNP;geo
Junichiro;NNP;per
Koizumi;NNP;per
Toshiyuki;NNP;per
Takano;NNP;per
Japan;NNP;org
Raul;NNP;per
Baduel;NNP;per
Caracas;NNP;gpe
Kamal;NNP;org
Kharrazi;NNP;org
Gholamreza;NNP;per
Aghazadeh;NNP;per
Europeans;NNS;gpe
Republic;NNP;geo
Coast;NNP;geo
Louisiana;NNP;geo
Mississippi;NNP;org
Atlantic;NNP;geo
Jericho;NNP;geo
Space;NNP;obj
Station;NNP;obj
Soyuzcapsule;NNP;obj
Kazakhstan;NNP;geo
