;Sentence #;Word;POS;Tag
301;;United;NNP;B-org
302;;Nations;NNPS;I-org
303;;.;.;O
304;Sentence: 15;The;DT;O
305;;report;NN;O
306;;comes;VBZ;O
307;;as;IN;O
308;;Afghan;JJ;B-gpe
309;;officials;NNS;O
310;;announced;VBD;O
311;;that;IN;O
312;;the;DT;O
313;;bodies;NNS;O
314;;of;IN;O
315;;20;CD;O
316;;Taleban;NNP;B-org
317;;militants;NNS;O
318;;had;VBD;O
319;;been;VBN;O
320;;recovered;VBN;O
321;;from;IN;O
322;;Bermel;NNP;B-geo
323;;district;NN;O
324;;in;IN;O
325;;Paktika;NNP;B-geo
326;;province;NN;O
327;;,;,;O
328;;where;WRB;O
329;;NATO;NNP;B-org
330;;and;CC;O
331;;Afghan;JJ;B-gpe
332;;forces;NNS;O
333;;recently;RB;O
334;;conducted;VBD;O
335;;a;DT;O
336;;mission;NN;O
337;;.;.;O
338;Sentence: 16;A;DT;O
339;;U.S.-backed;JJ;O
340;;operation;NN;O
341;;pushed;VBD;O
342;;the;DT;O
343;;Taleban;NNP;B-org
344;;from;IN;O
345;;power;NN;O
346;;in;IN;O
347;;2001;CD;B-time
348;;,;,;O
349;;but;CC;O
350;;members;NNS;O
351;;of;IN;O
352;;the;DT;O
353;;extremist;NN;O
354;;group;NN;O
355;;continue;VBP;O
356;;to;TO;O
357;;fight;VB;O
358;;Afghan;JJ;B-gpe
359;;and;CC;O
360;;foreign;JJ;O
361;;forces;NNS;O
362;;defending;VBG;O
363;;the;DT;O
364;;Kabul;NNP;B-org
365;;government;NN;O
366;;.;.;O
367;Sentence: 17;Indian;JJ;B-gpe
368;;border;NN;O
369;;security;NN;O
370;;forces;NNS;O
371;;are;VBP;O
372;;accusing;VBG;O
373;;their;PRP$;O
374;;Pakistani;JJ;B-gpe
375;;counterparts;NNS;O
376;;of;IN;O
377;;lobbing;VBG;O
378;;at;IN;O
379;;least;JJS;O
380;;four;CD;O
381;;rockets;NNS;O
382;;into;IN;O
383;;northern;JJ;O
384;;Punjab;NNP;B-geo
385;;state;NN;O
386;;.;.;O
387;Sentence: 18;Indian;JJ;B-gpe
388;;officials;NNS;O
389;;said;VBD;O
390;;no;DT;O
391;;one;NN;O
392;;was;VBD;O
393;;injured;VBN;O
394;;in;IN;O
395;;Saturday;NNP;B-time
396;;'s;POS;O
397;;incident;NN;O
398;;but;CC;O
399;;that;IN;O
400;;two;CD;O
401;;of;IN;O
402;;the;DT;O
403;;rockets;NNS;O
404;;landed;VBD;O
405;;near;IN;O
406;;a;DT;O
407;;border;NN;O
408;;security;NN;O
409;;outpost;NN;O
410;;.;.;O
411;Sentence: 19;Two;CD;O
412;;more;JJR;O
413;;landed;VBD;O
414;;in;IN;O
415;;fields;NNS;O
416;;belonging;VBG;O
417;;to;TO;O
418;;a;DT;O
419;;nearby;JJ;O
420;;village;NN;O
421;;.;.;O
422;Sentence: 20;They;PRP;O
423;;say;VBP;O
424;;not;RB;O
425;;all;DT;O
426;;of;IN;O
427;;the;DT;O
428;;rockets;NNS;O
429;;exploded;VBD;O
430;;upon;IN;O
431;;impact;NN;O
432;;.;.;O
433;Sentence: 21;Local;JJ;O
434;;news;NN;O
435;;reports;NNS;O
436;;said;VBD;O
437;;at;IN;O
438;;least;JJS;O
439;;five;CD;O
440;;mortar;NN;O
441;;shells;NNS;O
442;;hit;VBD;O
443;;the;DT;O
444;;palace;NN;O
445;;compound;NN;O
446;;and;CC;O
447;;other;JJ;O
448;;mortars;NNS;O
449;;were;VBD;O
450;;fired;VBN;O
451;;elsewhere;RB;O
452;;in;IN;O
453;;Mogadishu;NNP;B-geo
454;;Wednesday;NNP;B-time
455;;.;.;O
456;Sentence: 22;The;DT;O
457;;attacks;NNS;O
458;;occurred;VBD;O
459;;after;IN;O
460;;the;DT;O
461;;government;NN;O
462;;said;VBD;O
463;;it;PRP;O
464;;will;MD;O
465;;go;VB;O
466;;ahead;RB;O
467;;with;IN;O
468;;a;DT;O
469;;reconciliation;NN;O
470;;conference;NN;O
471;;to;TO;O
472;;which;WDT;O
473;;more;JJR;O
474;;than;IN;O
475;;1,3;CD;O
476;;Somali;JJ;B-gpe
477;;elders;NNS;O
478;;,;,;O
479;;warlords;NNS;O
480;;and;CC;O
481;;politicians;NNS;O
482;;are;VBP;O
483;;invited;VBN;O
484;;.;.;O
485;Sentence: 23;Iraqi;JJ;B-gpe
486;;military;JJ;O
487;;officials;NNS;O
488;;say;VBP;O
489;;tanks;NNS;O
490;;and;CC;O
491;;troops;NNS;O
492;;have;VBP;O
493;;arrived;VBN;O
494;;in;IN;O
495;;the;DT;O
496;;northern;JJ;O
497;;city;NN;O
498;;Mosul;NNP;B-geo
499;;for;IN;O
500;;a;DT;O
501;;new;JJ;O
502;;offensive;NN;O
503;;against;IN;O
504;;al;NNP;B-org
505;;Qaida;NNP;I-org
506;;in;IN;I-org
507;;Iraq;NNP;I-org
508;;fighters;NNS;O
509;;.;.;O
510;Sentence: 24;Officials;NNS;O
511;;will;MD;O
512;;not;RB;O
513;;say;VB;O
514;;how;WRB;O
515;;many;JJ;O
516;;troops;NNS;O
517;;have;VBP;O
518;;arrived;VBN;O
519;;in;IN;O
520;;the;DT;O
521;;Sunni;NNP;B-geo
522;;Arab;NNP;I-geo
523;;and;CC;O
524;;Kurdish;NNP;B-geo
525;;city;NN;O
526;;,;,;O
527;;where;WRB;O
528;;bombings;NNS;O
529;;last;JJ;O
530;;week;NN;O
531;;killed;VBD;O
532;;at;IN;O
533;;least;JJS;O
534;;34;CD;O
535;;people;NNS;O
536;;and;CC;O
537;;wounded;VBD;O
538;;more;JJR;O
539;;than;IN;O
540;;200;CD;O
541;;.;.;O
542;Sentence: 25;U.S.;NNP;B-gpe
543;;commanders;NNS;O
544;;have;VBP;O
545;;not;RB;O
546;;explained;VBN;O
547;;how;WRB;O
548;;American;JJ;B-gpe
549;;forces;NNS;O
550;;will;MD;O
551;;participate;VB;O
552;;in;IN;O
553;;the;DT;O
554;;offensive;NN;O
555;;.;.;O
556;Sentence: 26;Officials;NNS;O
557;;say;VBP;O
558;;al;NNP;B-org
559;;Qaida;NNP;I-org
560;;in;IN;I-org
561;;Iraq;NNP;I-org
562;;fighters;NNS;O
563;;have;VBP;O
564;;fled;VBN;O
565;;successful;JJ;O
566;;campaigns;NNS;O
567;;against;IN;O
568;;them;PRP;O
569;;in;IN;O
570;;Anbar;NNP;B-geo
571;;province;NN;O
572;;and;CC;O
573;;Baghdad;NNP;B-geo
574;;to;TO;O
575;;other;JJ;O
576;;northern;JJ;O
577;;provinces;NNS;O
578;;.;.;O
579;Sentence: 27;Mosul;NNP;B-geo
580;;is;VBZ;O
581;;the;DT;O
582;;largest;JJS;O
583;;city;NN;O
584;;north;NN;O
585;;of;IN;O
586;;Baghdad;NNP;B-geo
587;;and;CC;O
588;;has;VBZ;O
589;;long;RB;O
590;;been;VBN;O
591;;a;DT;O
592;;stronghold;NN;O
593;;of;IN;O
594;;Sunni;NNP;B-org
595;;militant;JJ;O
596;;fighters;NNS;O
597;;.;.;O
598;Sentence: 28;In;IN;O
599;;other;JJ;O
600;;violence;NN;O
601;;,;,;O
602;;U.S.;NNP;B-gpe
603;;officials;NNS;O
604;;said;VBD;O
605;;one;CD;O
606;;American;JJ;B-gpe
607;;soldier;NN;O
608;;was;VBD;O
609;;killed;VBN;O
610;;while;IN;O
611;;on;IN;O
612;;patrol;NN;O
613;;in;IN;O
614;;Baghdad;NNP;B-geo
615;;Sunday;NNP;B-time
616;;.;.;O
617;Sentence: 29;Egyptian;JJ;B-gpe
618;;police;NNS;O
619;;have;VBP;O
620;;arrested;VBN;O
621;;at;IN;O
622;;least;JJS;O
623;;16;CD;O
624;;members;NNS;O
625;;of;IN;O
626;;the;DT;O
627;;opposition;NN;O
628;;Muslim;NNP;B-org
629;;Brotherhood;NNP;I-org
630;;as;IN;O
631;;parts;NNS;O
632;;of;IN;O
633;;the;DT;O
634;;country;NN;O
635;;prepare;VB;O
636;;for;IN;O
637;;parliamentary;JJ;O
638;;runoff;NN;O
639;;elections;NNS;O
640;;Saturday;NNP;B-time
641;;.;.;O
642;Sentence: 30;The;DT;O
643;;arrests;NNS;O
644;;occurred;VBD;O
645;;Friday;NNP;B-time
646;;in;IN;O
647;;Alexandria;NNP;B-geo
648;;.;.;O
649;Sentence: 31;A;DT;O
650;;spokesman;NN;O
651;;for;IN;O
652;;the;DT;O
653;;Brotherhood;NNP;B-org
654;;said;VBD;O
655;;the;DT;O
656;;arrests;NNS;O
657;;are;VBP;O
658;;an;DT;O
659;;attempt;NN;O
660;;to;TO;O
661;;cut;VB;O
662;;the;DT;O
663;;Brotherhood;NNP;B-org
664;;off;RB;O
665;;from;IN;O
666;;its;PRP$;O
667;;supporters;NNS;O
668;;and;CC;O
669;;punishment;NN;O
670;;for;IN;O
671;;winning;VBG;O
672;;parliamentary;JJ;O
673;;seats;NNS;O
674;;in;IN;O
675;;earlier;JJR;O
676;;elections;NNS;O
677;;.;.;O
678;Sentence: 32;The;DT;O
679;;Muslim;NNP;B-org
680;;Brotherhood;NNP;I-org
681;;has;VBZ;O
682;;tripled;VBN;O
683;;its;PRP$;O
684;;strength;NN;O
685;;in;IN;O
686;;parliament;NN;O
687;;in;IN;O
688;;recent;JJ;O
689;;elections;NNS;O
690;;,;,;O
691;;raising;VBG;O
692;;the;DT;O
693;;party;NN;O
694;;'s;POS;O
695;;total;NN;O
696;;to;TO;O
697;;47;CD;O
698;;seats;NNS;O
699;;.;.;O
700;Sentence: 33;In;IN;O
701;;Saturday;NNP;B-time
702;;'s;POS;O
703;;elections;NNS;O
704;;,;,;O
705;;voters;NNS;O
706;;will;MD;O
707;;cast;VB;O
708;;ballots;NNS;O
709;;in;IN;O
710;;nine;CD;O
711;;provinces;NNS;O
712;;where;WRB;O
713;;no;DT;O
714;;candidate;NN;O
715;;won;VBD;O
716;;a;DT;O
717;;majority;NN;O
718;;in;IN;O
719;;the;DT;O
720;;previous;JJ;O
721;;round;NN;O
722;;of;IN;O
723;;voting;NN;O
724;;.;.;O
725;Sentence: 34;The;DT;O
726;;Muslim;NNP;B-org
727;;Brotherhood;NNP;I-org
728;;is;VBZ;O
729;;banned;VBN;O
730;;as;IN;O
731;;a;DT;O
732;;political;JJ;O
733;;party;NN;O
734;;,;,;O
735;;but;CC;O
736;;it;PRP;O
737;;endorses;VBZ;O
738;;so-called;JJ;O
739;;independent;JJ;O
740;;candidates;NNS;O
741;;whose;WP$;O
742;;allegiance;NN;O
743;;to;IN;O
744;;the;DT;O
745;;party;NN;O
746;;is;VBZ;O
747;;known;VBN;O
748;;to;TO;O
749;;voters;NNS;O
750;;.;.;O
751;Sentence: 35;Hardline;JJ;O
752;;lawmakers;NNS;O
753;;in;IN;O
754;;Pakistan;NNP;B-geo
755;;'s;POS;O
756;;North;NNP;B-geo
757;;West;NNP;I-geo
758;;Frontier;NNP;I-geo
759;;Province;NNP;I-geo
760;;have;VBP;O
761;;pushed;VBN;O
762;;through;IN;O
763;;a;DT;O
764;;law;NN;O
765;;that;WDT;O
766;;aims;VBZ;O
767;;to;TO;O
768;;ensure;VB;O
769;;"""";``;O
770;;Islamic;JJ;O
771;;correctness;NN;O
772;;"""";``;O
773;;in;IN;O
774;;public;JJ;O
775;;places;NNS;O
776;;and;CC;O
777;;establishes;VBZ;O
778;;a;DT;O
779;;morality;NN;O
780;;police;NN;O
781;;to;TO;O
782;;enforce;VB;O
783;;decent;JJ;O
784;;behavior;NN;O
785;;.;.;O
786;Sentence: 36;A;DT;O
787;;six-party;JJ;O
788;;coalition;NN;O
789;;of;IN;O
790;;religious;JJ;O
791;;based;VBN;O
792;;parties;NNS;O
793;;,;,;O
794;;the;DT;O
795;;Mutahida;NNP;B-org
796;;Majlis-e-Amal;NNP;I-org
797;;,;,;O
798;;dominates;VBZ;O
799;;the;DT;O
800;;provincial;JJ;O
801;;assembly;NN;O
802;;,;,;O
803;;so;IN;O
804;;the;DT;O
805;;bill;NN;O
806;;was;VBD;O
807;;easily;RB;O
808;;passed;VBN;O
809;;Thursday;NNP;B-time
810;;by;IN;O
811;;a;DT;O
812;;vote;NN;O
813;;of;IN;O
814;;68-34;CD;O
815;;.;.;O
816;Sentence: 37;The;DT;O
817;;provincial;JJ;O
818;;governor;NN;O
819;;must;MD;O
820;;still;RB;O
821;;sign;VB;O
822;;the;DT;O
823;;bill;NN;O
824;;before;IN;O
825;;it;PRP;O
826;;becomes;VBZ;O
827;;law;NN;O
828;;,;,;O
829;;a;DT;O
830;;step;NN;O
831;;seen;VBN;O
832;;only;RB;O
833;;as;IN;O
834;;a;DT;O
835;;formality;NN;O
836;;.;.;O
837;Sentence: 38;The;DT;O
838;;proposed;JJ;O
839;;law;NN;O
840;;calls;VBZ;O
841;;for;IN;O
842;;setting;VBG;O
843;;up;RP;O
844;;a;DT;O
845;;"""";``;O
846;;religious;JJ;O
847;;police;NN;O
848;;force;NN;O
849;;"""";``;O
850;;to;TO;O
851;;make;VB;O
852;;sure;JJ;O
853;;people;NNS;O
854;;adhere;VBP;O
855;;to;TO;O
856;;Islamic;JJ;O
857;;values;NNS;O
858;;in;IN;O
859;;public;JJ;O
860;;places;NNS;O
861;;,;,;O
862;;and;CC;O
863;;entertainment;NN;O
864;;outlets;NNS;O
865;;close;RB;O
866;;during;IN;O
867;;weekly;JJ;O
868;;Friday;NNP;B-time
869;;prayers;NNS;O
870;;.;.;O
871;Sentence: 39;Violators;NNS;O
872;;could;MD;O
873;;be;VB;O
874;;jailed;VBN;O
875;;for;IN;O
876;;up;RB;O
877;;to;TO;O
878;;six;CD;O
879;;months;NNS;O
880;;.;.;O
881;Sentence: 40;The;DT;O
882;;opposition;NN;O
883;;has;VBZ;O
884;;denounced;VBN;O
885;;the;DT;O
886;;measure;NN;O
887;;,;,;O
888;;comparing;VBG;O
889;;it;PRP;O
890;;to;TO;O
891;;the;DT;O
892;;draconian;JJ;O
893;;rule;NN;O
894;;of;IN;O
895;;the;DT;O
896;;former;JJ;O
897;;Taleban;NNP;B-org
898;;in;IN;O
899;;neighboring;VBG;O
900;;Afghanistan;NNP;B-geo
901;;.;.;O
902;Sentence: 41;British;JJ;B-gpe
903;;police;NNS;O
904;;say;VBP;O
905;;they;PRP;O
906;;have;VBP;O
907;;arrested;VBN;O
908;;a;DT;O
909;;man;NN;O
910;;who;WP;O
911;;dressed;VBD;O
912;;as;IN;O
913;;suicide;NN;O
914;;bomber;NN;O
915;;at;IN;O
916;;a;DT;O
917;;demonstration;NN;O
918;;against;IN;O
919;;the;DT;O
920;;publication;NN;O
921;;of;IN;O
922;;cartoons;NNS;O
923;;depicting;VBG;O
924;;Islam;NNP;B-org
925;;'s;POS;O
926;;Prophet;NNP;B-per
927;;Muhammad;NNP;I-per
928;;.;.;O
929;Sentence: 42;Bedfordshire;NNP;B-gpe
930;;police;NNS;O
931;;said;VBD;O
932;;Tuesday;NNP;B-time
933;;that;IN;O
934;;Omar;NNP;B-per
935;;Khayam;NNP;I-per
936;;was;VBD;O
937;;arrested;VBN;O
938;;in;IN;O
939;;Bedford;NNP;B-geo
940;;for;IN;O
941;;breaching;VBG;O
942;;the;DT;O
943;;conditions;NNS;O
944;;of;IN;O
945;;his;PRP$;O
946;;parole;NN;O
947;;.;.;O
948;Sentence: 43;Police;NNS;O
949;;said;VBD;O
950;;the;DT;O
951;;British;NNP;B-org
952;;Home;NNP;I-org
953;;Office;NNP;I-org
954;;sought;VBD;O
955;;an;DT;O
956;;investigation;NN;O
957;;of;IN;O
958;;Khayam;NNP;B-per
959;;'s;POS;O
960;;behavior;NN;O
961;;after;IN;O
962;;he;PRP;O
963;;was;VBD;O
964;;photographed;VBN;O
965;;last;JJ;O
966;;week;NN;O
967;;at;IN;O
968;;a;DT;O
969;;demonstration;NN;O
970;;dressed;VBN;O
971;;in;IN;O
972;;fatigues;NNS;O
973;;,;,;O
974;;a;DT;O
975;;black;JJ;O
976;;cap;NN;O
977;;,;,;O
978;;and;CC;O
979;;a;DT;O
980;;bulky;JJ;O
981;;belt;NN;O
982;;.;.;O
983;Sentence: 44;A;DT;O
984;;Home;NNP;B-org
985;;Office;NNP;I-org
986;;spokesman;NN;O
987;;told;VBD;O
988;;the;DT;O
989;;Associated;NNP;B-org
990;;Press;NNP;I-org
991;;that;IN;O
992;;if;IN;O
993;;the;DT;O
994;;behavior;NN;O
995;;of;IN;O
996;;a;DT;O
997;;paroled;JJ;O
998;;offender;NN;O
999;;gives;VBZ;O
1000;;cause;NN;O
1001;;for;IN;O
1002;;concern;NN;O
1003;;,;,;O
1004;;he;PRP;O
1005;;can;MD;O
1006;;be;VB;O
1007;;sent;VBN;O
1008;;back;RB;O
1009;;to;TO;O
1010;;prison;NN;O
1011;;.;.;O
1012;Sentence: 45;The;DT;O
1013;;AP;NNP;B-org
1014;;also;RB;O
1015;;reports;VBZ;O
1016;;Khayam;NNP;B-per
1017;;has;VBZ;O
1018;;been;VBN;O
1019;;on;IN;O
1020;;parole;NN;O
1021;;from;IN;O
1022;;prison;NN;O
1023;;since;IN;O
1024;;last;JJ;O
1025;;year;NN;O
1026;;after;IN;O
1027;;serving;VBG;O
1028;;half;PDT;O
1029;;his;PRP$;O
1030;;six-year;JJ;O
1031;;sentence;NN;O
1032;;for;IN;O
1033;;drug;NN;O
1034;;dealing;NN;O
1035;;.;.;O
1036;Sentence: 46;Pakistani;JJ;B-gpe
1037;;officials;NNS;O
1038;;say;VBP;O
1039;;unidentified;JJ;O
1040;;gunmen;NNS;O
1041;;have;VBP;O
1042;;killed;VBN;O
1043;;three;CD;O
1044;;people;NNS;O
1045;;,;,;O
1046;;including;VBG;O
1047;;a;DT;O
1048;;former;JJ;O
1049;;government;NN;O
1050;;minister;NN;O
1051;;,;,;O
1052;;in;IN;O
1053;;a;DT;O
1054;;semi-autonomous;JJ;O
1055;;tribal;JJ;O
1056;;region;NN;O
1057;;bordering;VBG;O
1058;;Afghanistan;NNP;B-geo
1059;;.;.;O
1060;Sentence: 47;The;DT;O
1061;;officials;NNS;O
1062;;say;VBP;O
1063;;prominent;JJ;O
1064;;tribal;JJ;O
1065;;leader;NN;O
1066;;Malik;NNP;B-per
1067;;Faridullah;NNP;I-per
1068;;Khan;NNP;I-per
1069;;was;VBD;O
1070;;traveling;VBG;O
1071;;in;IN;O
1072;;South;NNP;B-geo
1073;;Waziristan;NNP;I-geo
1074;;Sunday;NNP;B-time
1075;;when;WRB;O
1076;;his;PRP$;O
1077;;vehicle;NN;O
1078;;was;VBD;O
1079;;ambushed;VBN;O
1080;;in;IN;O
1081;;the;DT;O
1082;;Kani;NNP;B-geo
1083;;Wam;NNP;I-geo
1084;;area;NN;O
1085;;.;.;O
1086;Sentence: 48;His;PRP$;O
1087;;driver;NN;O
1088;;and;CC;O
1089;;a;DT;O
1090;;tribal;JJ;O
1091;;elder;NN;O
1092;;were;VBD;O
1093;;also;RB;O
1094;;killed;VBN;O
1095;;.;.;O
1096;Sentence: 49;No;DT;O
1097;;one;NN;O
1098;;has;VBZ;O
1099;;claimed;VBN;O
1100;;responsibility;NN;O
1101;;for;IN;O
1102;;the;DT;O
1103;;killings;NNS;O
1104;;.;.;O
1105;Sentence: 50;The;DT;O
1106;;ambush;NN;O
1107;;came;VBD;O
1108;;a;DT;O
1109;;day;NN;O
1110;;after;IN;O
1111;;a;DT;O
1112;;commander;NN;O
1113;;of;IN;O
1114;;Pakistani;JJ;B-gpe
1115;;troops;NNS;O
1116;;said;VBD;O
1117;;the;DT;O
1118;;army;NN;O
1119;;has;VBZ;O
1120;;almost;RB;O
1121;;completely;RB;O
1122;;eliminated;VBN;O
1123;;militants;NNS;O
1124;;in;IN;O
1125;;South;NNP;B-geo
1126;;Waziristan;NNP;I-geo
1127;;.;.;O
1128;Sentence: 51;The;DT;O
1129;;area;NN;O
1130;;became;VBD;O
1131;;a;DT;O
1132;;refuge;NN;O
1133;;for;IN;O
1134;;many;JJ;O
1135;;al-Qaida;NNP;B-org
1136;;and;CC;O
1137;;Taleban;NNP;B-org
1138;;fighters;NNS;O
1139;;after;IN;O
1140;;the;DT;O
1141;;Taleban;NNP;B-org
1142;;government;NN;O
1143;;was;VBD;O
1144;;ousted;VBN;O
1145;;in;IN;O
1146;;Afghanistan;NNP;B-geo
1147;;in;IN;O
1148;;2001;CD;B-time
1149;;.;.;O
1150;Sentence: 52;A;DT;O
1151;;senior;JJ;O
1152;;Pakistani;JJ;B-gpe
1153;;military;JJ;O
1154;;official;NN;O
1155;;says;VBZ;O
1156;;Pakistan;NNP;B-gpe
1157;;wants;VBZ;O
1158;;to;TO;O
